ALARMMIN,DFIRST,DDISTANCEFROMLAST,PDMIN,PDMAX,FILENAME,MMAD,RF,FPF
0,1,0,0.1,2500,,,,
150,1,0,0.1,2500,,,,
5,1,0,0.1,2500,,,,
10,1,0,0.1,2500,,,,
15,1,0,0.1,2500,,,,
20,1,0,0.1,2500,,,,
25,1,0,0.1,2500,,,,
30,1,0,0.1,2500,,,,
40,1,0,0.1,2500,,,,
50,1,0,0.1,2500,,,,
60,1,0,0.1,2500,,,,
70,1,0,0.1,2500,,,,
80,1,0,0.1,2500,,,,
90,1,0,0.1,2500,,,,
100,1,0,0.1,2500,,,,
110,1,0,0.1,2500,,,,
120,1,0,0.1,2500,,,,
130,1,0,0.1,2500,,,,
140,1,0,0.1,2500,,,,
0,1,0,1,100,,,,
150,1,0,1,100,,,,
25,1,0,0.1,2500,,,,
25,2,0,0.1,2500,,,,
25,3,0,0.1,2500,,,,
25,4,0,0.1,2500,,,,
25,5,0,0.1,2500,,,,
25,6,0,0.1,2500,,,,
25,7,0,0.1,2500,,,,
25,8,0,0.1,2500,,,,
25,9,0,0.1,2500,,,,
25,10,0,0.1,2500,,,,
25,11,0,0.1,2500,,,,
25,12,0,0.1,2500,,,,
25,13,0,0.1,2500,,,,
25,14,0,0.1,2500,,,,
25,15,0,0.1,2500,,,,
25,16,0,0.1,2500,,,,
25,17,0,0.1,2500,,,,
25,18,0,0.1,2500,,,,
25,19,0,0.1,2500,,,,
25,20,0,0.1,2500,,,,
25,21,0,0.1,2500,,,,
25,22,0,0.1,2500,,,,
25,23,0,0.1,2500,,,,
25,24,0,0.1,2500,,,,
25,25,0,0.1,2500,,,,
25,1,1,0.1,2500,,,,
25,1,2,0.1,2500,,,,
25,1,3,0.1,2500,,,,
25,1,4,0.1,2500,,,,
25,1,5,0.1,2500,,,,
25,1,6,0.1,2500,,,,
25,1,7,0.1,2500,,,,
25,1,8,0.1,2500,,,,
25,1,9,0.1,2500,,,,
25,1,10,0.1,2500,,,,
25,1,11,0.1,2500,,,,
25,1,12,0.1,2500,,,,
25,1,13,0.1,2500,,,,
25,1,14,0.1,2500,,,,
25,1,15,0.1,2500,,,,
25,1,16,0.1,2500,,,,
25,1,17,0.1,2500,,,,
25,1,18,0.1,2500,,,,
25,1,19,0.1,2500,,,,
25,1,20,0.1,2500,,,,
25,1,21,0.1,2500,,,,
25,1,22,0.1,2500,,,,
25,1,23,0.1,2500,,,,
25,1,24,0.1,2500,,,,
25,1,25,0.1,2500,,,,
25,1,0,1,100,,,,
25,2,0,1,100,,,,
25,3,0,1,100,,,,
25,4,0,1,100,,,,
25,5,0,1,100,,,,
25,6,0,1,100,,,,
25,7,0,1,100,,,,
25,8,0,1,100,,,,
25,9,0,1,100,,,,
25,10,0,1,100,,,,
25,11,0,1,100,,,,
25,12,0,1,100,,,,
25,13,0,1,100,,,,
25,14,0,1,100,,,,
25,15,0,1,100,,,,
25,16,0,1,100,,,,
25,17,0,1,100,,,,
25,18,0,1,100,,,,
25,19,0,1,100,,,,
25,20,0,1,100,,,,
25,21,0,1,100,,,,
25,22,0,1,100,,,,
25,23,0,1,100,,,,
25,24,0,1,100,,,,
25,25,0,1,100,,,,
25,1,1,1,100,,,,
25,1,2,1,100,,,,
25,1,3,1,100,,,,
25,1,4,1,100,,,,
25,1,5,1,100,,,,
25,1,6,1,100,,,,
25,1,7,1,100,,,,
25,1,8,1,100,,,,
25,1,9,1,100,,,,
25,1,10,1,100,,,,
25,1,11,1,100,,,,
25,1,12,1,100,,,,
25,1,13,1,100,,,,
25,1,14,1,100,,,,
25,1,15,1,100,,,,
25,1,16,1,100,,,,
25,1,17,1,100,,,,
25,1,18,1,100,,,,
25,1,19,1,100,,,,
25,1,20,1,100,,,,
25,1,21,1,100,,,,
25,1,22,1,100,,,,
25,1,23,1,100,,,,
25,1,24,1,100,,,,
25,1,25,1,100,,,,
