experiment,vmd_mean,vmd_sd,vmd_median,fpf_mean,fpf_sd,fpf_median,rf_mean,rf_sd,rf_median,efpf_mean,efpf_sd,efpf_median
WaterTrial1,339.6296363096667,164.9015989471297,398.10794067,0.07816635940029333,0.01431157570609088,0.0772130742855435,0.15745684186032732,0.03177378414116902,0.15824937708673248,0.05747940989257715,0.01058242140194251,0.056528721954662
WaterTrial2,384.4689272664228,147.03836776673865,398.10794067,0.08195709990804237,0.01206640774985334,0.08157694660127801,0.14831539331198115,0.02691642379692886,0.146258768811946,0.06031579059863938,0.01005832456397963,0.05908925015479099
WaterTrial3,453.93539699922223,106.53400074761925,464.15979004,0.05809940296348202,0.00961722744196452,0.05668940978358745,0.10758082511792448,0.02521624896666055,0.10530820540157898,0.04296320899574422,0.00687630541105231,0.04205265243539
Ethanol5pcTrial1,46.60619733742574,100.5397800781951,18.4785347,0.07299945323878117,0.01741529234520186,0.07032293707940801,0.2127887513683177,0.03687962997963841,0.210952982567234,0.04677382544810962,0.01164511903339541,0.0458689785329691
Ethanol5pcTrial2,58.02004808542857,115.96252859626576,20.01146221,0.08552015200317746,0.0218118367813295,0.0781440551733458,0.22678619978743603,0.04961385492985729,0.21410346680791784,0.05521235077565636,0.01434742220961947,0.05096631005173779
Ethanol5pcTrial3,123.35787777125,181.92138392027871,25.11891365,0.09508238186976951,0.0275087317325106,0.093085698513306,0.22087459510109825,0.08936116006512,0.21162588299021595,0.06253668269563513,0.01643864901974244,0.062597180558375
Ethanol10pcTrial1,223.00197383285715,225.6637612845037,46.41598129,0.06618141705436158,0.00682402151655855,0.068347109667943,0.11828916135643444,0.02580946325657108,0.111988431923133,0.040918908662028713,0.0036838228840331,0.041447443403308
Ethanol10pcTrial2,18.4785347,NA,18.4785347,0.0926872733338118,NA,0.0926872733338118,0.2214060667259118,NA,0.2214060667259118,0.06143836852264081,NA,0.06143836852264081
Ethanol10pcTrial3,476.7268981928571,50.19735879356111,464.15979004,0.04436771794088599,0.00923856371903488,0.042902131676669,0.06202371159833028,0.0140441404480024,0.06184139778837799,0.03085136074040314,0.00567002610413893,0.02931810578331
Ethanol25pcTrial1,43.11338806,4.670572136867565,43.11338806,0.05563525329343699,0.00515342127868894,0.05563525329343699,0.100163130862582,0.0045786105732012,0.100163130862582,0.032069626701997,0.00234560687100019,0.032069626701997
